filename,startTime,delta,distance,strokerate,heartrate,longitude,latitude
20250530-073626.pb,1748590586,0,0.0,0,91,6.9638,50.9325
20250530-073626.pb,1748590586,1239,1.1451454,0,90,6.963928205128205,50.9325641025641
20250530-073626.pb,1748590586,1811,1.794351,104,89,6.96405641025641,50.9326282051282
20250530-073626.pb,1748590586,2469,3.207662,103,88,6.964184615384616,50.93269230769231
20250530-073626.pb,1748590586,3609,4.663007,77,88,6.964312820512821,50.93275641025641
20250530-073626.pb,1748590586,4751,6.0229726,68,88,6.964441025641026,50.93282051282051
20250530-073626.pb,1748590586,5931,7.428309,64,92,6.96456923076923,50.932884615384616
20250530-073626.pb,1748590586,7090,9.785054,62,95,6.964697435897436,50.93294871794872
20250530-073626.pb,1748590586,8199,11.118621,61,102,6.964825641025641,50.933012820512815
20250530-073626.pb,1748590586,10199,14.155091,61,103,6.964953846153846,50.93307692307692
20250530-073626.pb,1748590586,12208,17.071966,0,101,6.965082051282051,50.93314102564102
20250530-073626.pb,1748590586,14208,20.16801,0,91,6.9652102564102565,50.933205128205124
20250530-073626.pb,1748590586,16208,23.17887,0,90,6.965338461538462,50.93326923076923
20250530-073626.pb,1748590586,18209,26.327652,0,93,6.965466666666667,50.93333333333333
20250530-073626.pb,1748590586,18598,27.26049,0,93,6.965594871794872,50.93339743589743
20250530-073626.pb,1748590586,19788,28.673601,50,98,6.965723076923077,50.933461538461536
20250530-073626.pb,1748590586,21792,31.867964,50,101,6.965851282051282,50.93352564102564
20250530-073626.pb,1748590586,22970,34.08736,28,101,6.965979487179487,50.93358974358974
20250530-073626.pb,1748590586,24974,36.80422,27,96,6.966107692307692,50.933653846153845
20250530-073626.pb,1748590586,25129,36.80422,27,96,6.966235897435897,50.93371794871795
20250530-073626.pb,1748590586,27132,39.613434,27,96,6.9663641025641025,50.93378205128205
20250530-073626.pb,1748590586,29132,42.533092,0,99,6.966492307692308,50.933846153846154
20250530-073626.pb,1748590586,31138,45.34086,0,104,6.966620512820513,50.93391025641025
20250530-073626.pb,1748590586,33139,48.299774,0,104,6.966748717948718,50.93397435897435
20250530-073626.pb,1748590586,35139,51.09862,0,104,6.966876923076923,50.93403846153846
20250530-073626.pb,1748590586,37139,54.17462,0,103,6.967005128205129,50.93410256410256
20250530-073626.pb,1748590586,37580,54.91904,0,103,6.967133333333333,50.93416666666666
20250530-073626.pb,1748590586,38682,56.364155,56,103,6.967261538461538,50.934230769230766
20250530-073626.pb,1748590586,40361,58.553024,43,105,6.967389743589743,50.93429487179487
20250530-073626.pb,1748590586,41130,60.133896,51,106,6.967517948717949,50.93435897435897
20250530-073626.pb,1748590586,41912,60.79755,56,106,6.967646153846154,50.934423076923075
20250530-073626.pb,1748590586,42630,62.333775,60,107,6.967774358974359,50.93448717948718
20250530-073626.pb,1748590586,43301,62.90945,63,108,6.967902564102564,50.93455128205128
20250530-073626.pb,1748590586,44058,64.51084,65,108,6.9680307692307695,50.934615384615384
20250530-073626.pb,1748590586,44670,65.23041,69,108,6.968158974358975,50.93467948717949
20250530-073626.pb,1748590586,45091,65.946144,72,108,6.96828717948718,50.93474358974359
20250530-073626.pb,1748590586,45464,66.648605,76,108,6.968415384615384,50.93480769230769
20250530-073626.pb,1748590586,46080,67.4189,77,108,6.9685435897435895,50.93487179487179
20250530-073626.pb,1748590586,48080,70.32739,77,108,6.968671794871795,50.93493589743589
20250530-073626.pb,1748590586,50080,73.27295,0,108,6.9688,50.934999999999995
20250530-073626.pb,1748590586,52082,75.99049,0,108,6.968928205128205,50.9350641025641
20250530-073626.pb,1748590586,54082,78.949875,0,108,6.96905641025641,50.9351282051282
20250530-073626.pb,1748590586,56089,81.76779,0,111,6.9691846153846155,50.935192307692304
20250530-073626.pb,1748590586,58099,84.525696,0,111,6.969312820512821,50.93525641025641
20250530-073626.pb,1748590586,60050,87.58244,0,111,6.969441025641026,50.93532051282051
20250530-073626.pb,1748590586,60649,88.24987,105,111,6.969569230769231,50.93538461538461
20250530-073626.pb,1748590586,61800,89.61518,69,110,6.9696974358974355,50.93544871794872
20250530-073626.pb,1748590586,62360,90.34648,77,109,6.969825641025641,50.93551282051282
20250530-073626.pb,1748590586,62831,91.01794,88,109,6.969953846153846,50.93557692307692
20250530-073626.pb,1748590586,63511,92.405525,87,108,6.970082051282051,50.935641025641026
20250530-073626.pb,1748590586,64111,93.15453,90,108,6.970210256410256,50.93570512820513
20250530-073626.pb,1748590586,64642,93.864174,92,108,6.970338461538462,50.935769230769225
20250530-073626.pb,1748590586,65238,94.53427,97,109,6.970466666666667,50.93583333333333
20250530-073626.pb,1748590586,66359,96.04493,88,111,6.970594871794872,50.93589743589743
20250530-073626.pb,1748590586,66902,96.88797,88,112,6.970723076923077,50.935961538461534
20250530-073626.pb,1748590586,67522,98.16128,89,112,6.9708512820512825,50.93602564102564
20250530-073626.pb,1748590586,68672,99.36606,84,112,6.970979487179487,50.93608974358974
20250530-073626.pb,1748590586,69208,100.047134,85,113,6.971107692307692,50.93615384615384
20250530-073626.pb,1748590586,69810,100.49474,86,114,6.971235897435897,50.936217948717946
20250530-073626.pb,1748590586,70368,101.16935,86,113,6.971364102564102,50.93628205128205
20250530-073626.pb,1748590586,70993,102.48142,92,113,6.971492307692308,50.93634615384615
20250530-073626.pb,1748590586,72110,104.455345,93,112,6.971620512820513,50.936410256410255
20250530-073626.pb,1748590586,73202,106.0907,81,111,6.971748717948718,50.93647435897436
20250530-073626.pb,1748590586,73780,106.75527,80,111,6.971876923076923,50.93653846153846
20250530-073626.pb,1748590586,74398,107.36657,80,110,6.9720051282051285,50.936602564102564
20250530-073626.pb,1748590586,74981,109.05978,79,111,6.972133333333334,50.93666666666667
20250530-073626.pb,1748590586,76108,110.494125,85,112,6.972261538461538,50.93673076923076
20250530-073626.pb,1748590586,77800,112.418396,72,111,6.972389743589743,50.936794871794866
20250530-073626.pb,1748590586,78983,114.53531,68,112,6.9725179487179485,50.93685897435897
20250530-073626.pb,1748590586,80101,116.10147,62,111,6.972646153846154,50.93692307692307
20250530-073626.pb,1748590586,82108,119.10908,62,112,6.972774358974359,50.936987179487176
20250530-073626.pb,1748590586,83542,121.52579,43,112,6.972902564102564,50.93705128205128
20250530-073626.pb,1748590586,84649,122.9629,37,114,6.973030769230769,50.93711538461538
20250530-073626.pb,1748590586,85791,124.366196,38,114,6.973158974358975,50.937179487179485
20250530-073626.pb,1748590586,86369,125.20092,42,114,6.97328717948718,50.93724358974359
20250530-073626.pb,1748590586,86989,126.75979,47,114,6.973415384615385,50.93730769230769
20250530-073626.pb,1748590586,88129,128.29218,50,114,6.973543589743589,50.937371794871794
20250530-073626.pb,1748590586,89211,129.78276,46,114,6.973671794871795,50.9374358974359
20250530-073626.pb,1748590586,90380,131.23166,61,112,6.9738,50.9375
20250530-073626.pb,1748590586,90982,132.85683,65,112,6.973928205128205,50.9375641025641
20250530-073626.pb,1748590586,91572,133.59653,67,112,6.97405641025641,50.937628205128206
20250530-073626.pb,1748590586,92652,135.10797,65,111,6.974184615384615,50.9376923076923
20250530-073626.pb,1748590586,93100,135.90083,68,111,6.974312820512821,50.937756410256405
20250530-073626.pb,1748590586,95102,138.76952,68,111,6.974441025641026,50.93782051282051
20250530-073626.pb,1748590586,97102,141.73083,0,111,6.974569230769231,50.93788461538461
20250530-073626.pb,1748590586,97711,142.41586,42,111,6.974697435897436,50.937948717948714
20250530-073626.pb,1748590586,98309,143.10042,46,112,6.974825641025641,50.93801282051282
20250530-073626.pb,1748590586,98688,143.82497,50,112,6.974953846153846,50.93807692307692
20250530-073626.pb,1748590586,100690,146.66072,50,112,6.975082051282051,50.93814102564102
20250530-073626.pb,1748590586,102692,149.47153,0,111,6.975210256410256,50.93820512820513
20250530-073626.pb,1748590586,104000,151.50067,29,109,6.9753384615384615,50.93826923076923
20250530-073626.pb,1748590586,106000,154.07451,33,110,6.975466666666667,50.93833333333333
20250530-073626.pb,1748590586,106752,154.68266,33,110,6.975594871794872,50.938397435897436
20250530-073626.pb,1748590586,107309,155.30708,31,109,6.975723076923077,50.93846153846154
20250530-073626.pb,1748590586,108452,157.0922,30,108,6.975851282051282,50.93852564102564
20250530-073626.pb,1748590586,109009,157.67375,48,108,6.975979487179488,50.93858974358974
20250530-073626.pb,1748590586,110628,159.53291,54,108,6.976107692307692,50.93865384615384
20250530-073626.pb,1748590586,112631,162.01057,50,106,6.976235897435897,50.938717948717944
20250530-073626.pb,1748590586,112831,162.01057,50,106,6.976364102564102,50.93878205128205
20250530-073626.pb,1748590586,113380,162.72823,44,105,6.9764923076923075,50.93884615384615
20250530-073626.pb,1748590586,114028,164.19289,47,106,6.976620512820513,50.93891025641025
20250530-073626.pb,1748590586,116029,166.95413,50,106,6.976748717948718,50.938974358974356
20250530-073626.pb,1748590586,116259,166.95413,50,106,6.976876923076923,50.93903846153846
20250530-073626.pb,1748590586,117982,169.71234,50,109,6.977005128205128,50.93910256410256
20250530-073626.pb,1748590586,119983,172.49925,44,109,6.977133333333334,50.939166666666665
20250530-073626.pb,1748590586,121289,173.99046,0,108,6.977261538461539,50.93923076923077
20250530-073626.pb,1748590586,121974,175.41393,35,106,6.977389743589743,50.93929487179487
20250530-073626.pb,1748590586,123138,176.7224,39,102,6.977517948717948,50.939358974358974
20250530-073626.pb,1748590586,125139,179.44133,32,98,6.977646153846154,50.93942307692308
20250530-073626.pb,1748590586,126480,181.56883,32,98,6.977774358974359,50.93948717948718
20250530-073626.pb,1748590586,128148,183.61041,28,98,6.977902564102564,50.939551282051276
20250530-073626.pb,1748590586,128719,184.22305,35,100,6.978030769230769,50.93961538461538
20250530-073626.pb,1748590586,130729,187.0598,35,102,6.9781589743589745,50.93967948717948
20250530-073626.pb,1748590586,132118,189.2689,25,102,6.97828717948718,50.939743589743586
20250530-073626.pb,1748590586,134118,192.05698,25,101,6.978415384615385,50.93980769230769
20250530-073626.pb,1748590586,136124,194.71788,0,100,6.97854358974359,50.93987179487179
20250530-073626.pb,1748590586,138129,197.22128,0,101,6.9786717948717945,50.939935897435895
20250530-073626.pb,1748590586,140129,199.2339,0,104,6.9788,50.94
20250530-073626.pb,1748590586,142129,201.21382,0,104,6.978928205128205,50.9400641025641
20250530-073626.pb,1748590586,144129,202.79431,0,101,6.97905641025641,50.940128205128204
20250530-073626.pb,1748590586,146139,203.92955,0,101,6.979184615384615,50.94019230769231
20250530-073626.pb,1748590586,148148,204.78462,0,99,6.9793128205128205,50.94025641025641
20250530-073626.pb,1748590586,150148,205.5483,0,99,6.979441025641026,50.94032051282051
20250530-073626.pb,1748590586,152149,206.13417,0,102,6.979569230769231,50.940384615384616
20250530-073626.pb,1748590586,154159,206.83476,0,102,6.979697435897436,50.94044871794871
20250530-073626.pb,1748590586,156169,207.8953,0,101,6.979825641025641,50.940512820512815
20250530-073626.pb,1748590586,158169,208.99655,0,101,6.979953846153846,50.94057692307692
20250530-073626.pb,1748590586,160169,210.07988,0,101,6.980082051282051,50.94064102564102
20250530-073626.pb,1748590586,162178,211.36337,0,100,6.980210256410256,50.940705128205124
20250530-073626.pb,1748590586,164178,212.51324,0,99,6.980338461538461,50.94076923076923
20250530-073626.pb,1748590586,166179,213.79913,0,99,6.980466666666667,50.94083333333333
20250530-073626.pb,1748590586,168179,215.15654,0,99,6.980594871794872,50.94089743589743
20250530-073626.pb,1748590586,170179,216.82814,0,99,6.980723076923077,50.940961538461536
20250530-073626.pb,1748590586,172189,218.21188,0,102,6.980851282051282,50.94102564102564
20250530-073626.pb,1748590586,174189,219.6356,0,102,6.9809794871794875,50.94108974358974
20250530-073626.pb,1748590586,176199,221.09267,0,100,6.981107692307693,50.941153846153846
20250530-073626.pb,1748590586,177879,222.2055,0,98,6.981235897435897,50.94121794871795
20250530-073626.pb,1748590586,179550,223.58745,35,98,6.981364102564102,50.94128205128205
20250530-073626.pb,1748590586,180890,224.54257,38,101,6.981492307692307,50.941346153846155
20250530-073626.pb,1748590586,182031,225.23131,35,102,6.981620512820513,50.94141025641025
20250530-073626.pb,1748590586,184040,226.36806,35,102,6.981748717948718,50.941474358974354
20250530-073626.pb,1748590586,186042,227.895,0,102,6.981876923076923,50.94153846153846
20250530-073626.pb,1748590586,188042,229.16568,0,102,6.982005128205128,50.94160256410256
20250530-073626.pb,1748590586,190048,230.38528,0,104,6.9821333333333335,50.94166666666666
20250530-073626.pb,1748590586,192049,231.98828,0,106,6.982261538461539,50.941730769230766
20250530-073626.pb,1748590586,194051,233.93832,0,107,6.982389743589744,50.94179487179487
20250530-073626.pb,1748590586,196060,235.35329,0,104,6.982517948717948,50.94185897435897
20250530-073626.pb,1748590586,198062,236.88118,0,102,6.9826461538461535,50.941923076923075
20250530-073626.pb,1748590586,198460,237.26433,0,102,6.982774358974359,50.94198717948718
20250530-073626.pb,1748590586,200139,238.42946,26,103,6.982902564102564,50.94205128205128
20250530-073626.pb,1748590586,202142,240.25276,26,106,6.983030769230769,50.942115384615384
20250530-073626.pb,1748590586,204148,242.07431,0,106,6.983158974358974,50.94217948717949
20250530-073626.pb,1748590586,206150,243.69177,0,103,6.98328717948718,50.94224358974359
20250530-073626.pb,1748590586,208152,244.94624,0,102,6.983415384615385,50.942307692307686
20250530-073626.pb,1748590586,210159,246.91196,0,102,6.98354358974359,50.94237179487179
20250530-073626.pb,1748590586,212160,249.17554,0,105,6.983671794871795,50.94243589743589
20250530-073626.pb,1748590586,212973,250.27574,0,105,6.9838,50.942499999999995
